a: as
anthus: anthuses
anthyllis: anthyllises
antichrist: antichrists
antido: antidoes
antidorcas: antidorcases
antigone: antigones
antigonia: antigonias
antigonus: antigonuses
antigua: antiguas
antiguan: antiguans
antilles: antilleses
antilocapra: antilocapras
antilocapridae: antilocapridaes
antilope: antilopes
antirrhinum: antirrhinums
antivert: antiverts
antofagasta: antofagastas
antony: antonies
antrozous: antrozouses
antum: antums
antwerp: antwerps
antwerpen: antwerpens
anu: anus
anubis: anubises
anunnaki: anunnakis
anura: anuras
anvers: anverses
aotus: aotuses
apache: apaches
apalachicola: apalachicolas
apatura: apaturas
aphasmidia: aphasmidias
aphididae: aphididaes
aphidoidea: aphidoideas
aphis: aphises
aphriza: aphrizas
aphrodite: aphrodites
aphrophora: aphrophoras
aphyllanthaceae: aphyllanthaceaes
aphyllanthes: aphyllantheses
aphyllophorales: aphyllophoraleses
apiaceae: apiaceaes
apidae: apidaes
apios: apioses
apis: apises
apium: apia
aplacophora: aplacophoras
aplectrum: aplectrums
aplodontia: aplodontias
aplodontiidae: aplodontiidaes
aplysia: aplysias
aplysiidae: aplysiidaes
apocalypse: apocalypses
apocrypha: apocryphas
apocynaceae: apocynaceaes
apocynum: apocynums
apodemus: apodemuses
apodidae: apodidaes
apodiformes: apodiformeses
apogon: apogons
apogonidae: apogonidaes
apoidea: apoideas
apollo: apollos
aporocactus: aporocactuses
apostle: apostles
appalachia: appalachias
appaloosa: appaloosas
apr: aprs
april: aprils
apsu: apsus
aptenodytes: aptenodyteses
apterygidae: apterygidaes
apterygiformes: apterygiformeses
apulia: apulias
apus: apuses
aqaba: aqabas
aquarius: aquariuses
aquifoliaceae: aquifoliaceaes
aquinas: aquinases
aquitaine: aquitaines
aquitania: aquitanias
ar: ares
ara: aras
arab: arabs
arabia: arabias
arabian: arabians
arabic: arabics
arabis: arabises
arabist: arabists
araceae: araceaes
arachis: arachises
arachnida: arachnidas
aragon: aragons
arales: araleses
araliaceae: araliaceaes
aramaic: aramaics
aramus: aramuses
aranea: araneae
araneida: araneidas
araneus: araneuses
arapaho: arapahoes
arapahoe: arapahoes
ararat: ararats
araucariaceae: araucariaceaes
araujia: araujias
arawak: arawaks
arawakan: arawakans
arawn: arawns
arca: arcas
arcadia: arcadias
arcadian: arcadians
arcadic: arcadics
arcellidae: arcellidaes
arceuthobium: arceuthobiums
archaeornithes: archaeornitheses
archaeozoic: archaeozoics
archeozoic: archeozoics
archiannelida: archiannelidas
archidiskidon: archidiskidons
archilochus: archilochuses
archosargus: archosarguses
archosauria: archosaurias
