diegueno: dieguenoes
dimocarpus: dimocarpuses
dinornis: dinornises
dionysus: dionysuses
diplopterygium: diplopterygiums
diplotaxis: diplotaxises
dipsacus: dipsacuses
dipsosaurus: dipsosauruses
dipus: dipuses
dis: disses
doberman: dobermans
dolichotis: dolichotises
doomsday: doomsdays
doris: dorises
doronicum: doronicums
dorotheanthus: dorotheanthuses
doryopteris: doryopterises
dovyalis: dovyalises
draco: dracoes
dracocephalum: dracocephalums
dracunculus: dracunculuses
drepanis: drepanises
dreyfus: dreyfuses
dromaius: dromaiuses
drosophyllum: drosophyllums
drymoglossum: drymoglossums
dryopithecus: dryopithecuses
dryopteris: dryopterises
durio: durioes
dy: dys
dyaus: dyauses
dysdercus: dysdercuses
ebro: ebroes
ecballium: ecballiums
echeneis: echeneises
echinocereus: echinocereuses
echium: echiums
elaeagnus: elaeagnuses
elaeis: elaeises
elaeocarpus: elaeocarpuses
elagatis: elagatises
elanus: elanuses
elaphurus: elaphuruses
eleocharis: eleocharises
elephantopus: elephantopuses
eleutherodactylus: eleutherodactyluses
elymus: elymuses
elysium: elysiums
embothrium: embothriums
empetrum: empetrums
enceliopsis: enceliopsises
engraulis: engraulises
ensis: ensises
enterobius: enterobiuses
enterolobium: enterolobiums
ephemerida: ephemeridae
ephippiorhynchus: ephippiorhynchuses
epicurus: epicuruses
epidendrum: epidendrums
epilobium: epilobiums
epimedium: epimediums
epimetheus: epimetheuses
epinephelus: epinepheluses
epipactis: epipactises
epipremnum: epipremnums
eptesicus: eptesicuses
equetus: equetuses
equisetum: equisetums
equus: equuses
eragrostis: eragrostises
eranthis: eranthises
erasmus: erasmuses
erato: eratoes
erebus: erebuses
erianthus: erianthuses
erignathus: erignathuses
erinaceus: erinaceuses
eriophorum: eriophorums
eriophyllum: eriophyllums
eris: erises
erithacus: erithacuses
erodium: erodiums
eryngium: eryngiums
erysimum: erysimums
erythrocebus: erythrocebuses
erythronium: erythroniums
erythroxylum: erythroxylums
eschrichtius: eschrichtiuses
esperantido: esperantidoes
esperanto: esperantoes
etropus: etropuses
eucinostomus: eucinostomuses
euonymus: euonymuses
eupatorium: eupatoriums
euphagus: euphaguses
euphractus: euphractuses
euproctis: euproctises
eurotium: eurotiums
euthynnus: euthynnuses
exacum: exacums
exodus: exoduses
ezo: ezoes
fagopyrum: fagopyrums
fagus: faguses
falcatifolium: falcatifoliums
falco: falcoes
faraday: faradays
fargo: fargoes
faunus: faunuses
faustus: faustuses
felis: felises
ferocactus: ferocactuses
ficus: ficus
flaminius: flaminiuses
floreal: floreales
foeniculum: foeniculums
fontenoy: fontenoys
formicarius: formicariuses
fortaz: fortazzes
fraxinus: fraxinuses
fresno: fresnoes
frey: freys
friday: fridays
fuego: fuegoes
fulmarus: fulmaruses
fundulus: funduluses
furnarius: furnariuses
fusanus: fusanuses
fuscoboletinus: fuscoboletinuses
gadus: gaduses
galeocerdo: galeocerdoes
galeopsis: galeopsises
galeorhinus: galeorhinuses
galileo: galileoes
galium: galiums
gallinago: gallinagoes
gallirallus: galliralluses
galloway: galloways
gallus: galluses
garrulus: garruluses
gasherbrum: gasherbrums
gasterophilus: gasterophiluses
gasterosteus: gasterosteuses
gastroboletus: gastroboletuses
gavialis: gavialises
geastrum: geastrums
gelsemium: gelsemiums
gempylus: gempyluses
gentianopsis: gentianopsises
genyonemus: genyonemuses
geoglossum: geoglossums
geophilus: geophiluses
geothlypis: geothlypises
gerbillus: gerbilluses
german: germans
gerrhonotus: gerrhonotuses
geum: geums
glaucium: glauciums
glis: glises
gnaphalium: gnaphaliums
gobio: gobioes
gomphotherium: gomphotheriums
goniopteris: goniopterises
gonorhynchus: gonorhynchuses
gopherus: gopheruses
gorgonocephalus: gorgonocephaluses
gorkiy: gorkiys
gossypium: gossypiums
grammatophyllum: grammatophyllums
granicus: granicuses
graptophyllum: graptophyllums
greensboro: greensboroes
gropius: gropiuses
grus: gruses
guaiacum: guaiacums
guernsey: guernseys
gulo: guloes
guy: guys
gymnadeniopsis: gymnadeniopsises
gymnasium: gymnasiums
gymnelis: gymnelises
gymnocalycium: gymnocalyciums
gymnocarpium: gymnocarpiums
gymnocladus: gymnocladuses
gymnopilus: gymnopiluses
gymnosporangium: gymnosporangiums
gypaetus: gypaetuses
hachiman: hachimans
haemanthus: haemanthuses
haematopus: haematopuses
haematoxylum: haematoxylums
haemodorum: haemodorums
haemopis: haemopises
haemoproteus: haemoproteuses
haliaeetus: haliaeetuses
haliotis: haliotises
halocarpus: halocarpuses
hamamelidanthum: hamamelidanthums
hamamelis: hamamelises
haman: hamans
hanuman: hanumans
haplopappus: haplopappuses
hedysarum: hedysarums
helenium: heleniums
helichrysum: helichrysums
heliothis: heliothises
helipterum: helipterums
helix: helices
helleborus: helleboruses
helotium: helotiums
hemachatus: hemachatuses
hemerocallis: hemerocallises
hemigalus: hemigaluses
hemigrammus: hemigrammuses
hemingway: hemingways
hemipteronatus: hemipteronatuses
hemitripterus: hemitripteruses
hephaestus: hephaestuses
heracleum: heracleums
herculaneum: herculaneums
herodotus: herodotuses
hertz: hertz
hesperis: hesperises
heterocephalus: heterocephaluses
heteroscelus: heterosceluses
hexalectris: hexalectrises
hexanchus: hexanchuses
hieracium: hieraciums
himantoglossum: himantoglossums
himantopus: himantopuses
hippocrepis: hippocrepises
hippoglossus: hippoglossuses
hippotragus: hippotraguses
hipsurus: hipsuruses
hirudo: hirudoes
hirundo: hirundoes
hogmanay: hogmanays
hokkaido: hokkaidoes
holcus: holcuses
holocentrus: holocentruses
homarus: homaruses
hondo: hondoes
hordeum: hordeums
horus: horuses
hugo: hugoes
humulus: humuluses
huxley: huxleys
hydnocarpus: hydnocarpuses
hydnum: hydnums
hydrastis: hydrastises
hydrocharis: hydrocharises
hydrochoerus: hydrochoeruses
hydrodamalis: hydrodamalises
hydrophyllum: hydrophyllums
hydrus: hydruses
hyemoschus: hyemoschuses
hygrophorus: hygrophoruses
hylocereus: hylocereuses
hymenophyllum: hymenophyllums
hyoscyamus: hyoscyamuses
hypentelium: hypenteliums
hypericum: hypericums
hypochaeris: hypochaerises
hypochoeris: hypochoerises
hypopachus: hypopachuses
hypoxis: hypoxises
hyracotherium: hyracotheriums
hyssopus: hyssopuses
iapetus: iapetuses
iberis: iberises
icarus: icaruses
ictalurus: ictaluruses
icterus: icteruses
ictiobus: ictiobuses
idaho: idahoes
ido: idoes
illecebrum: illecebrums
illicium: illiciums
illinois: illinoises
inachis: inachises
indianapolis: indianapolises
indus: induses
ingerman: ingermans
io: ioes
ioway: ioways
ipsus: ipsuses
iroquois: iroquoises
isatis: isatises
isis: isises
isopyrum: isopyrums
issus: issuses
istiophorus: istiophoruses
isurus: isuruses
iwo: iwoes
ixobrychus: ixobrychuses
j: jes
jaculus: jaculuses
jahvey: jahveys
janus: januses
jasminum: jasminums
javanthropus: javanthropuses
jerez: jerezzes
jericho: jerichoes
jersey: jerseys
jinghpo: jinghpoes
juarez: juarezzes
juncus: juncuses
juniperus: juniperuses
juno: junoes
kakemono: kakemonoes
katsuwonus: katsuwonuses
kenyapithecus: kenyapithecuses
khartoum: khartoums
khirghiz: khirghizzes
kilimanjaro: kilimanjaroes
kobus: kobuses
kotoko: kotokoes
kovno: kovnoes
krakatao: krakataoes
kuroshio: kuroshioes
kyoto: kyotoes
kyphosus: kyphosuses
lox: lox
laburnum: laburnums
laccopetalum: laccopetalums
lachnolaimus: lachnolaimuses
lactarius: lactariuses
lagarostrobus: lagarostrobuses
